"Status","Direction","ArticleId","ArticleName","SourceCompanyId","SourceFolderId","SourceFolderPath","DestinationCompanyId","DestinationFolderId","DestinationPath","DryRun","Error"
"Moved","ToCompany","36","Mixture Estimate Acid",,,"","17",,"","False",
"Moved","ToCompany","37","Communication Lose Inquisitive",,,"","17",,"","False",
"Moved","ToCompany","38","Permit Vary Wicked",,,"","17",,"","False",
"Moved","ToCompany","39","Advice Hunt Quick",,,"","17",,"","False",
"Moved","ToCompany","40","Background Guy Yielding",,,"","17",,"","False",
"Moved","ToCompany","41","Register Think Oval",,,"","17",,"","False",
"Moved","ToCompany","42","Psychology Conference Aspiring",,,"","17",,"","False",
"Moved","ToCompany","43","Lack Taste Dull",,,"","17",,"","False",
"Moved","ToCompany","44","Coach Focus Animated",,,"","17",,"","False",
"Moved","ToCompany","45","Interaction Maintain Ignorant",,,"","17",,"","False",
"Moved","ToCompany","46","Historian Review Afraid",,,"","17",,"","False",
"Moved","ToCompany","47","Rub Operate Combative",,,"","17",,"","False",
"Moved","ToCompany","48","Bitter Strip Volatile",,,"","17",,"","False",
"Moved","ToCompany","49","Bench List Fearless",,,"","17",,"","False",
"Moved","ToCompany","50","Writer Friend Xanthic",,,"","17",,"","False",
"Moved","ToCompany","51","Inspection Bus Light",,,"","17",,"","False",
"Moved","ToCompany","52","Sink Part Quick",,,"","17",,"","False",
"Moved","ToCompany","53","Order Resolve Selfish",,"6","testfolder","17","18","testfolder","False",
"Moved","ToCompany","88","Control Stop Flat",,"11","Media Tests\Audio","17","20","Media Tests\Audio","False",
"Moved","ToCompany","89","Can Owe Inexpensive",,"11","Media Tests\Audio","17","20","Media Tests\Audio","False",
"Moved","ToCompany","90","Transition Has Serious",,"11","Media Tests\Audio","17","20","Media Tests\Audio","False",
"Moved","ToCompany","91","Sir Leg New",,"11","Media Tests\Audio","17","20","Media Tests\Audio","False",
"Moved","ToCompany","92","Airline Conflict Guarded",,"11","Media Tests\Audio","17","20","Media Tests\Audio","False",
"Moved","ToCompany","93","Comfort Pitch Uninterested",,"11","Media Tests\Audio","17","20","Media Tests\Audio","False",
"Moved","ToCompany","94","Mood Station Square",,"11","Media Tests\Audio","17","20","Media Tests\Audio","False",
"Moved","ToCompany","95","Bed Counter Short",,"11","Media Tests\Audio","17","20","Media Tests\Audio","False",
"Moved","ToCompany","96","Tone Discover Tasty",,"12","Media Tests\Video","17","21","Media Tests\Video","False",
"Moved","ToCompany","97","Calendar Agree Guarded",,"12","Media Tests\Video","17","21","Media Tests\Video","False",
"Moved","ToCompany","98","Weakness Transition Spooky",,"12","Media Tests\Video","17","21","Media Tests\Video","False",
"Moved","ToCompany","99","South Sock Gainful",,"12","Media Tests\Video","17","21","Media Tests\Video","False",
"Moved","ToCompany","100","Visit Name Trite",,"12","Media Tests\Video","17","21","Media Tests\Video","False",
"Moved","ToCompany","101","Spell Block Wakeful",,"12","Media Tests\Video","17","21","Media Tests\Video","False",
